# coding: utf-8
# 小鹤音形“置顶”用户词库（与系统词条重码时居前）
# 该文件以UTF-8编码保存
# 编码格式：字词+Tab符+编码（用户词库本身有重码则还需后面+Tab符+权重，权重大者居前，权重数字随意）
# 
#    === 强调一下 === 
# 
#   词条和编码之间的不是空格，而是Tab符，如果你不知道，就复制下面编码中的空白处
#   或者按住键盘 G 键，切换到功能键盘，使用上面的Tab键
# 
#    ================
# 
# 如两个用户词重码，则需加权重排序，权重大者居前，如下：
#
# 同文	tw	90
# 提问	tw	30
#
# 如只加一个用户词，则无需权重，如下（如想居于系统词“台湾”后，请把词条放到flypy_user文件内）：
#
# 同文	tw
#
# 如和系统词重码且要放中间，如下设置：
#
# 技术	jiuu	100
# 奇数	jiuu	90
# 既成事实	jiuu	80
#    ================
#
# 虽然文本码表编辑较为方便，但不适合导入大量条目
# 本词库和系统词重码时置顶。

# 快速符号
：	;	10
；	;	20
：“	;q
？	;w
（	;e
）	;r
@	;t
·	;y
＝	;u
〈	;i
〉	;o
～	;p
！	;a
……	;s
、	;d
《	;g
＋	;h
－	;j
×	;k
÷	;l
“	;z
→	;x
”	;c
——	;v
》	;b
〔	;n
〕	;m


#用户置顶词库，此行后开始添加，编码格式见上。切换方案或部署后生效
# no comment

电光石火	dguh
刀客	dcke
轰杀	hsua
没什么	msm
喵喵	mnmn
漫展	mjvj
魔物	mowu
凭什么	psm
亲爱	qa
日月无光	rywg
所谓的	swd
正太	vgtd
玄功	xrgs
心法	xbfa
妖兽	ycuz
矮人	airf
从新	csxb
地精	dijk
诶	ei
归根结蒂	ggjd
功法	gsfa
极了	jile
贱人	jmrf
掠	lt
魔族	mozu
弩箭	nujm
【	ok
】	ol
兽人	uzrf
侏儒	vuru
唔姆	wumu
武者	wuve
要知道	yvd
御姐	yujp
烟火	yjho
做功	zogs
狼人	lhrf
大吃一惊	diyj
孟	mgz
荼糜	tumi
索尼	soni

